ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	Terrane	Paleolatitude	Environment_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	Dominant	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Foraminifera	Stromatoporoids	Porifera	Corals	Conularids	Gastropoda	Cephalopoda	Bivalvia	Brachiopoda	Tentaculita	Ectoprocta	Ostracoda	Conchostracans	Trilobita	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
27	Middle Devonian	late Eifelian-late Givetian	Copacabana Section	Bolivia	Huamampampa	500	389.5666667	382.7			marine			0	0	1	90	0		0	0	0	0	0	0	SAN							0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	rare		0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	
28	Upper Devonian		La Paz	Bolivia	Sica Sica		419.2	416.4			marine	1976																						0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	3	rare		0	1	0										1					1			1													
29	Lower Devonian	late Lochkovian	Seripona-La Higuera	Bolivia	Santa Rosa	456	413.6	410.8			tidal marsh	1984		0	0	1		0	0	1		0	0	1		SAN							0	0	0	0	0	1	1	0	0	1	12	1	2	0	0	0	0	0	0	15	commun	200	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0		0	0	0	0	0	0	0	0	0	
30			Icla	Bolivia	Icla																															0	0	0	0	0	0	1		1		0	0	0	0	0	0	0	rare														1					1			1													
31	Middle Devonian	late Eifelian-Givetian	Altiplano	Bolivia	Belen		389.5666667	382.7																									0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	4	rare		0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0		0	0	0	0	0	0	0	0	0	
32	Upper Devonian	late Famennian	Campo Maior	Brazil	Longa		363.3333333	358.9			shallow marine	1953		1		1		1		1						SHA							0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	3	rare	10	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1		0	0	0	0	0	0	0	1	0	
33	Middle-Upper Devonian	Eifelian-Frasnian	Picos (Parnaiba Basin)	Brazil	Pimenteira		393.3	372.2				1953	30 YEARS	1		1		1		1		0		0									0	0	0	0	0	0	0	1	1	1	5	1	3	0	0	0	0	0	0	9	rare	20	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1		1	0	1	0	0	0	0	0	0	
34	Lower Devonian	early Ludlow-late Lochkovian	Cachoeira da Porteira	Brazil	Manacapuru		427.4	410.8				1897		0		1		1		1		0		0		SAN							0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	4	rare	20	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1		0	0	0	0	0	0	0	0	0	
35	Lower Devonian 	late Emsian	Tibagi	Brazil	Sao Domingos		398.0666667	393.3			cold shallow marine	2017		0	0	1	10	1	75	0	0	1	15	0	0	SIL							0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	rare	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0	0	0	0	
36	Middle Devonian	early-middle Eifelian	Maecuru River	Brazil	Maecuru		393.3	389.5666667		30 S	fluvial-deltaic	1870		1		1	80			0	0	1		0	0	SAN							1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	rare		0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1		0	0	0	0	0	0	0	0	0	
37	Upper Devonian	middle Frasnian	Miguasha	Canada	Escuminac		379.2	375.7	Laurasia	15 S	Estuary	1879	145 YEARS	1	0.1	1	25	1	22	1	46	0	0	0	0	SHA SIL							0	0	0	1	4	0	0	1	2	1	4	0	0	1	1	1	8	1	1	20	abundant		1	1		0	1			0	0	0	0	0	0	0	0	0	1	0	1	1	0		1		0	1	0		1					R. Cloutier
38	Upper Devonian	Frasnian	Nunavut	Canada	Fram (Okse Bay Gr)		382.7	372.2	Laurasia		meandering streams			0	0	1	20	1	80	0	0	0	0	0	0	SIL							0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	1	7	0	0	13	commun	200	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								1		
39	Upper Silurian	late Pridoli	Ridgemont Quarries	Canada ON	Bertie		420.4666667	419.2	Laurasia		Intertidal lagoon			0		0		0		1		0		1		LIM							1	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	1	rare		1	0		0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0		1	1	1		0		0			
