ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	terrain	Palaeolatitude	Environnement_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	lDominant_lith	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Forams	Stromatoporoids	Porifera	Corals	Conularids	Gastropods	Cephalopods	Bivalves	Brachiopods	Tentaculites	Ectoprocta	Ostracods	Conchostracans	Trilobites	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
118	Upper Silurian	early Wenlock	Dippal Burn	Scotland	Dippal Burn	37	433.4	431.4			fresh or brackish lagoon			1	5	1	10	1	45	1	10	1	30	0	0	SIL							0	0	0	1	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	7	commun	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0		0		0	1		
119	Upper Devonian	Frasnian	Scaat Craig FRl	Scotland			382.7	372.2																																												0						0																														
120	Middle Devonian	Givetian	Exnaboe GI	Scotland			387.7	382.7																																												0						0																														
121	Middle-Upper Devonian	Givetian-Frasnian	Nairn GIFR (27)	Scotland	Nairn Sandstone		387.7	372.2																		SAN								0	0																	0						0																														
122	Middle-Upper Devonian	Givetian-Frasnian	Edenkillie GIFR	Scotland			387.7	372.2																																												0						0																														
123	Middle Devonian	late Givetian	John O'Groats GI (28)	Scotland	John OGroats Sandstone		384.3666667	382.7																		SAN																										0						0																														
124	Middle Devonian	late Givetian	Boghole GI (30)	Scotland	Nairn Sandstone		384.3666667	382.7																		SAN																										0						0																														
125	Middle Devonian	late Givetian	Achanarras GI	Scotland			384.3666667	382.7																																												0						0																														
126	Middle Devonian	late Givetian	Cruaday GI	Scotland			384.3666667	382.7																																												0						0																														
127	Middle Devonian	late Givetian	Black Park GI	Scotland			384.3666667	382.7																																												0						0																														
128	Middle Devonian	late Givetian	Elgin GI	Scotland			384.3666667	382.7																												0	0	0		1		1		0	0	1		1		1		0			1	1		0																														
129	Middle Devonian	late Givetian	Holborn Head Quarry	Scotland	Upper Caithness Flagstone Group		384.3666667	382.7																												0	0	0		1		1		0	0	0	0	1		0	0	0																																				
130	Lower Silurian	late Llandovery	Birk Knowes	Scotland	Patrick Burn	400	436.8666667	433.4			marginal marine	1856	150	0	0	1		1		0	0	1		0	0								0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	abundant		1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	>41	0	0	0		0		0	1	0	
131	Lower Silurian	late Llandovery	Ree Burn - Douglas Water	Scotland	Ree Burn	300	436.8666667	433.4						0	0	0	0	1	30	1	30	1	40	0	0	LIM							0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	rare		0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	>43	1	0	0		0		0	1	1	
132	Lower Silurian	late Llandovery	Dunside	Scotland	Kip Burn	130	436.8666667	433.4				1856		0	0	0	0	1	10	0	0	1	90	0	0	LIM							0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	rare		1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	17	0	0	0		0		0	0	0	
133	Upper Silurian	Pridoli	Slot Burn (Segholm)	Scotland	Slot Burn	60	423	419.2				1896	70	0	0	1	10	1	10	0	0	1	80	0	0	LIM							0	0	0	1	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	9	abundant	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0		0		0	1		
134	Silurian			Scotland																																																0																																				
135			Gamrie EIGI	Scotland																																																0						0																														
136	Middle Devonian	Givetian	Grootrivier	South Africa			387.7	382.7																												0	0	0		1		1		1		0	0	0	0	0	0	0																																				
137	Middle Devonian	Givetian	Warmwaterberg	South Africa			387.7	382.7																												0	0	0		1		1		1		0	0	1		0	0	0																																				
138	Upper Devonian	late Famennian	Waterloo Farm	South Africa	Witpoort		363.3333333	358.9	?Dronning Maud Land	70 S	Estuarine			0		1		0		1		0		0		SHA							0			1		0		1		1		1		1		1		1		0	abundant		1	1		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0		1	0	1		1		0			
139			Cederberg	South Africa	Klipbokkop				?Dronning Maud Land		Marine or freshwater delta																													1		1		1								0																																				
140			Rooiberg	South Africa	Wagendrift				?Dronning Maud Land		Marginal marine			0		1		1		0		0		0																1				1								0																																				
141			Koega	South Africa	Floriskraal				?Dronning Maud Land																																	1				1						0																																				
142			Hilton Farm	South Africa	Kweekvlei				?Dronning Maud Land					1																														1								0																																				
143			Schiethoogte	South Africa	Waaipoort				?Dronning Maud Land		Lagoonal			0		1		1		0		1		0																		1		1		1						0																																				
144	Lower Devonian	Eifelian	Aragon	Spain	Moyuela		393.3	387.7																									0			0	0	0		1		0	0	0	0	0	0	1		0	0	0																																				
145	Lower Devonian	Lochkovian/Pragian	Aragon	Spain	Nogueras		419.2	407.6	Cordillera Iberica							1		0		1		0		1		LIM							1			0	0	1		1		1		1		1		0	0	0	0	1	rare		1	1		0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1		1	1	0		0					
146	Lower Devonian	Lochkovian/Pragian	Aragon	Spain	Santa Cruz		419.2	407.6	Cordillera Iberica		Shallow tidal marine					1				1				1									1			0	0	1		0	0	1		0	0	0	0	0	0	0	0	1										1	0	1	1	0	1	1	1	1	0	1			1		1											
147				Spain																																																0																																				
148	Upper Devonian	late Famennian	Mae Sam Lap	Thailand			363.3333333	358.9	Shan-Thai		Marine			0		0		0		0		1		1									1			0	0	0		0	0	1		1		1		0	0	0	0	1	commun		0	1																							0	0	0		0		0			
149	Upper Silurian - Lower Devonian		Mae Sariang	Thailand																																0	0	1		0	0	1		0	0	0	0	0	0	0	0	0																																				
150	Middle Devonian		Loei (new site)	Thailand							marine			0		0		1		1		1		1		SHA LIM							0			0	0	0		1		0	0	0	0	0	0	0	0	0	0	0	rare		0	1		0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0		0	0	1		0		0			
151	Upper Devonian	Famennian		Turkey	Koprulu Black Shale		372.2	358.9																																												0																																				
152	Upper Devonian	Frasnian ?	Armutgozlek Tepe	Turkey	Upper Antalya Nappe		382.7	372.2						0		1		0		0		0		0									0			0	0	0		1		1		0	0	0	0	1		0	0	0	rare		0	1		0	0																													
153	Upper Devonian	early Frasnian	Red Hill (35)	"USA, AR"	Denay		382.7	379.2	Laurasia	10 S	"Marine, lagoonal"			0		0		0		1		1		1		LIM							1			0	0	0		1		1		0	0	1		1		0	0	1	commun		1	1		0	0	1	1	1	1	0	0	0	1	0	0	0		0	0	0	1	0	1		0	0	0		0		0			
154	Upper Devonian	Frasnian	Mt Elden (32)	"USA, AR"	Martin	46	382.7	372.2	Laurasia		Marine	1936		0	0	1	17	1	33	0	0	0	0	1	50	LIM							0			0	0	0		1		0	0	1		0	0	1		0	0	0	commun	100	0	1		0		0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0	0	0	
155	Upper Devonian	Frasnian	Jerome localities	"USA, AR"	"Jerome Member, Martin Formation"	151	382.7	372.2	Laurasia		Marine			0	0	1	7	1	7	0	0	0	0	1	86	LIM							1			0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	3	rare	10	0	1	0	0		0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0	0	0	
156	Upper Devonian	Frasnian	Endlich Mesa (33)	"USA, CO"	Elbert		382.7	372.2	Laurasia		Marine			0		0						1		1									0			0	0	0		1		0	0	1		0	0	1		0	0	0			1	1																																
157	Upper Devonian	Frasnian	Parting FA	"USA, CO"	Parting Member		382.7	372.2	Laurasia		Marine			0		1		0		0		1		1		MUD							0			0	0	0		1		0	0	0	0	0	0	1		0	0	0			0	1		1									1		1						1													
158	Upper Devonian	late Famennian	White River Plateau	"USA, CO"	Dyer		363.3333333	358.9	Laurasia		Marine			0		1		0		0		1		1		LIM							1			0	0	0		1		0	0	1		0	0	1		0	0	1	rare		0	1		0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1		1	0	0		0		0			
159	Upper Devonian		Fremont (34)	"USA, CO"	Chaffee				Laurasia		Marine													1									0			0	0	0		1		0	0	1		0	0	1		0	0	0				1											1																					
160	Middle Devonian	Eifelian		"USA, MI"	Dundee Limestone		393.3	387.7	Laurasia					0		0		0		0		0		1		LIM							0			0	0	0		1		1		1		0	0	1		0	0	0	rare		1	1		0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0			0	0	0		0		0			
161	Middle Devonian	Givetian	Rockport Quarry	"USA, MI"	Rockport Quarry Limestone		387.7	382.7	Laurasia															1		LIM										0	0	0		1		1		1						0	0	0	common		1	1		0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0		0	0	0		0		0			
162	Upper Devonian	early Frasnian	18 Mile Creek (36)	"USA, NY"	North Evans Limestone		382.7	379.2	Laurasia																																									0	0	0										1			1		1		1			1																
163	Middle Devonian	Late Givetian	Cairo	"USA, NY"	Platerkill		384.3666667	382.7	Laurasia					0		0		0		1		1		0		MUD							0			1		0		1		0	0	1		1		1		0	0	0			1	1			0			0	0	0	0	0	0	0	0	0	0	0	1	1	0		0		0	0	0		1					
164			Delaware Co (37)	"USA, NY"	Catskill				Laurasia	20 S - 45 S																																								0	0	0																																				
165	Upper Devonian	Famennian	Cleveland FA	"USA, OH"	Cleveland Member		372.2	358.9	Laurasia					0		0		0		1		1		0									1			0	0	0		1		0	0	1		1		1		0	0	1	commun		1	1		0		0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0			0	0	0		0		0			
166	Upper Devonian	Late Famennian	Red Hill	"USA, PN"	"Duncannon Mbs, Catskill Fm"		363.3333333	358.9	Laurasia		alluvial plain			1		1		1		0		0		0									0			0	0	0		1		1		1		1		1		1		0	common		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1		1		1			
167	Upper Devonian	late Famennian	"Route 15, Tioga Co"	"USA, PN"	Catskill		363.3333333	358.9	Laurasia	20 S - 45 S				0		1		1		0		0		0									0			0	0	0		1		1		0	0	1		1		0	0	0	common		1	1		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0			
168	Upper Devonian	late Famennian	Lycoming Co	"USA, PN"	Catskill		363.3333333	358.9	Laurasia	20 S - 45 S	fluvial 			0		1		0		1		0		0									0			0	0	0		1		1		0	0	0	0	1		1		0	commun		0	1		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		0	0	1		1		0			
169	Upper Devonian	middle Famennian	Howard Falls	"USA, PN"	"Chadakoin (Chemung, Chagrin)"		367.7666667	363.3333333	Laurasia		Shallow marine			0		1		1		1		0		0									1			0	0	0		1		1		1		1		1		0	0	1	rare		0	1		0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1		1	0	0		1		1			
170	Upper Devonian	Frasnian	Cano Colorado Sur	Venezuela	Campo Chico		382.7	372.2																												0	0	0		1		1		1				1		0	0	0			1	1			0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1		0	0	1		1		0			
171	Middle Devonian	Givetian-?early Frasnian	Central Vietnam	Vietman	Dong Tho		387.7	379.2			Marigal to deltaic facies			0		1		0		1		0		0		SAN							0			0	0	0	0	1	1	0	0	0	0	0	0	1		0	0	1	rare		0	1		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0		0	0	1		1		0			
172	Lower Devonian	Lochkovian-Pragian	Bac Bo	Vietman			419.2	407.6																												1														0	0	0																																				
173	Upper Silurian 	Wenlock-Pridoli	"My Duc, Central Vietnam"	Vietman	Dai Giang	1000	433.4	419.2	Indochina		Marine	1997		0	0	1	95	0	0	1	5	0	0	0	0	SAN							0			0	0	0	0	1		1		0	0	0	0	1		0	0	0	common		0	1	0		0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0		0	0	0		0		0			
174	Lower Devonian	Emsian	Central Vietnam	Vietnam	Ly Hoa		407.6	393.3					10	0		1		0		1		0		0									0			1	1	0	0	1	4	0	0	0	0	0	0	1	1	0	0	6	rare	20	0	1	0	0		0	0	0	0	0	0	1	1	0	0	0	1	0	1	0													3	
175	Lower Devonian	Emsian	"Dong Van Trang Xa, North Vietnam"	Vietnam	Bac Bun		407.6	393.3						0		1		1		1		1		1		SHA							0			1		0		1		1		0	0	0	0	1		0	0	0	abundant		1	1		0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0			
176	Upper Devonian	Famennian	Central Vietnam	Vietnam	Xom Nha		372.2	358.9			Marine	1993																								0	0	0		0	0	0	0	1		1		0	0	0	0	0																																				
177	Middle Devonian	Givetian	Song Hong	Vietnam	Quy Dat (Muc Bai)		387.7	382.7			"Marine, deltaic"	1993		0		1		0		1		0		1									1			0	0	0		1	1	0	0	0	0	1	1	1	1	0	0	4	rare		0	1		0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0		0	0	1		0		0			
178	Middle-Upper Devonian	Givetian-Frasnian	Central Vietnam	Vietnam	Nam Can		387.7	372.2																																												0															1																					
179	Lower Devonian	Lochkovian	Lung Co-Mia Le	Vietnam	Si Ka		419.2	410.8						0		1		1		0		0		0									0			1		0		1		0	0	0	0	0	0	1		0	0	0	common		1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0			
180	Lower Devonian	middle-late Lochkovian	"Tong Vai, North Vietnam"	Vietnam	Khao Loc		416.4	410.8				1995				1				1				1												1	1			1	3							1		0		4						0		1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0												
181	Lower Devonian	Pragian	North Vietnam	Vietnam	Mia Le		410.8	407.6			Marine			0		1		0		1		0		1												1														0	0	0	abundant					0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0		0	0	0		0		0			
