ID,lat,lon,crdsprov.est,age,period,min_ma,max_ma
3,-18.3,126.5,prov,MD,GIV,386.0333333,379.2
10,-36.95610046,149.7910747,est,MD,GIV,384.3666667,379.2
17,50.511666,5.040398,est,MD,GIV,387.7,372.2
39,51.72695,-115.75668,est,MD,GIV,384.3666667,382.7
70,73.42223,-23.28724,est,MD,GIV,387.7,382.7
76,50.83276,1.78781,est,MD,GIV,387.7,382.7
80,50.22029,6.63005,est,MD,GIV,384.3666667,382.7
86,33.43578364,51.45786917,est,MD,GIV,387.7,382.7
89,57.35501697,24.97067286,est,MD,GIV,384.3666667,382.7
90,56.6267443,25.45696283,est,LD,GIV,384.3666667,382.7
104,50.96871097,20.69215776,est,MD,GIV,387.7,382.7
120,59.89262176,-1.286991634,est,MD,GIV,387.7,382.7
121,57.57770793,-3.862791403,est,MD,GIV,387.7,372.2
122,57.4983013,-3.63623766,est,MD,GIV,387.7,372.2
123,58.64408,-3.06981,est,MD,GIV,384.3666667,382.7
124,57.56835797,-3.714265127,est,MD,GIV,384.3666667,382.7
125,58.47064,-3.458773074,est,MD,GIV,384.3666667,382.7
126,59.08168749,-3.304015313,est,MD,GIV,384.3666667,382.7
127,57.47899135,-4.271454636,est,MD,GIV,384.3666667,382.7
128,57.65558416,-3.356487478,est,MD,GIV,384.3666667,382.7
129,58.61811108,-3.586584082,est,MD,GIV,384.3666667,382.7
136,-33.37251356,24.35475223,est,MD,GIV,387.7,382.7
137,-33.78457514,20.75354683,est,MD,GIV,387.7,382.7
161,45.20322519,-83.38493531,est,MD,GIV,387.7,382.7
163,42.30433882,-74.0097817,est,MD,GIV,384.3666667,382.7
53,28.48188,108.9103,est,SL,LLA,436.8,433.4
130,55.6292084,-3.901188899,est,SL,LLA,436.8666667,433.4
131,55.52148279,-3.961623218,est,SL,LLA,436.8666667,433.4
132,55.61175088,-3.988575597,est,SL,LLA,436.8666667,433.4
38,48.05765,-66.37083,est,ED,LOCH,419.2,410.8
145,41.06828953,-1.072507942,est,ED,LOCH,419.2,407.6
146,41.12061322,-1.598877608,est,ED,LOCH,419.2,407.6
172,22.60972094,105.6632022,est,ED,LOCH,419.2,407.6
179,23.30875857,105.3665858,est,ED,LOCH,419.2,410.8
52,25.4833,103.783,est,SL,LUD,425.6,419.2
54,25.44983,103.75338,est,SL,LUD,427.4,423
55,25.4833,103.783,est,SL,LUD,427.4,423
36,42.92443,-79.00942,est,SL,PRID,420.4666667,419.2
56,25.4833,103.783,est,SL,PRID,423,419.2
133,55.55633809,-4.109564981,est,SL,PRID,423,419.2
117,55.54625471,-3.936049621,est,SL,WEN,433.4,431.4
118,55.56706262,-4.06182404,est,SL,WEN,433.4,431.4
21,50.064036,5.149177,est,,,,
22,50.453553,5.282949,est,,,,
27,-16.18018,-69.0542,est,MD,,,
28,-17.34237,-67.75827,est,,,,
